Chinese,English
曲阜市,Qufu
也就是说,That is to say
代码结构,code structure
西藏自治区,Tibet Autonomous Region
如果指定了,if specified
以下属性与,The following properties are the same as
绝对布局,absolute layout
低代码,low code
代码编辑器,code editor
解析表达式,Analytical expression
原本其实是用,originally used
开始初始化,start initialization
附加组件,add-ons
优先级低,low priority
支持串联使用过滤器,Support for using filters in series
数据接口结构要求,Data Interface Structure Requirements
激活时才渲染,Render only when activated
内容说明,Description of content
最小长度为指定值,The minimum length is the specified value
判断数据中是否存在指定元素,Determine whether the specified element exists in the data
从而搭建非常复杂的页面应用,To build a very complex page application
展示表单数据,display form data
石渠县,Shiqu County
会默认在移动端下使用仿原生,"By default, the imitation will be used under the mobile terminal"
无需返回,no need to return
插件里面可以写些逻辑,Some logic can be written in the plugin
右上,upper right
时有意义,meaningful
可以自己写一段函数来包装,You can write a function to wrap it yourself
主要解决直接设置,Mainly solve the direct setting
邢台市市辖区,Districts of Xingtai City
组件图标,Component icon
点击选择图标,Click on the select icon
松原市,Songyuan City
编辑接口,edit interface
来展示详情,to show details
翻页时保留选择,Keep selection when turning pages
最多存储,Maximum storage
组件接收的,received by the component
请等待,Please wait
跳转链接,jump link
收尾,ending
没有数据,no data
不存在的,nonexistent
点击添加,click to add
走,Walk
刷新其他数据容器类组件,Refresh other data container class components
找不到就拿第一个值为数组的字段,"If you can't find it, take the first field whose value is an array"
属性来控制表格尺寸,properties to control table size
并且当前日期在范围内,and the current date is in the range
因为后面列,because the following column
也就是用来匹配,"that is, to match"
后端根据传过来的参数决定是懒加载树,The backend decides to lazy load the tree according to the passed parameters
需要自己,need yourself
布局测试,layout test
允许选择城市,Allow city selection
渲染组件,render component
原因待查,Reason to be investigated
如果是别的,if anything else
字段会告诉,field will tell
当前请求的原始响应,the raw response for the current request
用于信息管理,for information management
执行的动作集,set of actions to execute
直接赋值,direct assignment
触发广播动作,trigger broadcast action
结束,Finish
来弹出提示,to pop up a prompt
子节点融入上级节点,Child nodes merge into parent nodes
再执行弹框,Re-execute the pop-up
当前选中节点,currently selected node
插入新的子节点,Insert a new child node
点击清空当前区域中的所有元素,Click to clear all elements in the current area
注意数值一定得是数字类型,Note that the value must be of numeric type
标记这个文件,mark this file
默认左右展示,Display left and right by default
已选行记录,Selected row record
华州区,Huazhou District
雅动用,elegant use
公共方法,public method
是否在新标签页打开,Whether to open in a new tab
新龙县,Xinlong County
是否只将其子节点加入到值中,Whether to only add its child nodes to the value
但是给,but give
列筛选,column filter
可配置弹出位置,Configurable popup position
更新的右侧编辑面板中的值,Update the value in the right edit panel
水平合并列数,Merge Columns Horizontally
自动偏移坐标,Automatic offset coordinates
默认到毫秒,default to milliseconds
限制图片宽度,Limit Image Width
展开并拼接在,expand and splice in
限制最大日志数量,Limit the maximum number of logs
主要用来测试,Mainly used for testing
条记录修改但没有提交,records modified but not submitted
是否具有相同样式,have the same style
类型值的变量列表,variable list of type values
代码体积的增加,increase in code size
时间实现更戏剧的更新动画效果,Time for more dramatic update animations
翻译方法,translation method
对于隐藏的字段同时又希望提交表单的时候带过去,For hidden fields and want to bring them when submitting the form
博白县,Bobai County
打开的时候就不会乱码,There will be no garbled characters when opening
算出每个单元格在最终渲染时的实际行和列,Figure out the actual row and column for each cell in the final render
搜索历史,search history
请求远程,request remote
超大,oversized
获取通用的树形结构,Get a generic tree structure
通过配置不同的逻辑动作实现动作编排,Realize action arrangement by configuring different logical actions
后,back
可以用来调用其他,can be used to call other
等后面修复了干掉,Wait for it to be fixed later
的原型链,prototype chain
限制个数,limit number
字体文件地址,Font file address
简单的展示数据,simple display of data
则应该使用,then you should use
事件相应,event response
默认提示信息,default message
昂仁县,Angren County
当前日期,current date
优秀,excellent
高县,Gao County
龙山县,Longshan County
空链接,empty link
即将抛弃,about to abandon
上传完成接口,Upload complete interface
旬邑县,Xunyi County
宜秀区,Yixiu District
获取源数据,get source data
这样发送的数据格式为,The format of the data sent in this way is
所有的,all
收起文字,Collapse text
语言直接录入发送适配器的函数体,The language is directly entered into the function body of the send adapter
是否显示动画,Whether to display animation
自定义编辑表单,custom edit form
九原区,Jiuyuan District
靖州苗族侗族自治县,Jingzhou Miao and Dong Autonomous County
南宁市市辖区,Districts of Nanning City
可以看到通过数组的形式,You can see that through the form of an array
音频播放器,audio player
必须返回该字段用作回显,This field must be returned for echo
功能和前面,function and front
该配置对当前列内单元格生效,This configuration takes effect on the cells in the current column
取整,Rounding
值越低越优先命中,"The lower the value, the higher the priority"
朝阳区,Chaoyang District
表示请求成功提示信息,Indicates the prompt message of successful request
但,but
但记得引用它们的,but remember to quote their
组合,combination
薰衣草紫,lavender purple
都会执行,will execute
限制文件类型,Restrict file types
还可以在列上配置,Can also be configured on the column
当前用户已存在,current user already exists
也可以用表达式如,You can also use expressions such as
表格展示,table display
来实现该功能,to achieve this function
不设置走,do not set go
一行选项显示,A line of options displayed
菜单选中,menu selection
当前为字段内容节点配置,Currently configured for field content nodes
茄萣区,eggplant area
新增功能其实还是依靠其他位置放个弹框表单完成,The new function is actually completed by placing a pop-up form in other places
暂不细说,not to elaborate
这是邮件主题,This is the email subject
后端,rear end
用来决定文件的下载地址,Used to determine the download address of the file
标题设置,title settings
向左旋转,rotate to the left
默认排序字段,default sort field
通过条件配置是否禁用,Whether to disable by conditional configuration
重庆市郊县,Suburban counties of Chongqing
默认月份范围存储一个字段,The default month range stores a field
刷新输入类组件,Refresh input class components
坐标,coordinate
获取失败提示,Obtain failure prompt
自身没有,itself does not
分类,Classification
是否自动计算公式结果,Whether to automatically calculate the formula result
行内样式,inline style
大概也不会有人用,probably no one will use it
滚动吸附位置配置项,Scroll adsorption position configuration item
察雅县,Chaya County
新洲区,Xinzhou District
暂不支持,Not supported yet
二七区,Erqi District
广东省,Guangdong Province
编辑需要点击表格右侧的,Editing needs to click on the right side of the table
先下掉,drop first
是否包含空内容,Whether to contain empty content
这个问题暂时没想到其它方法,I can't think of any other way to do this
方便获取,easy access
渲染器中的,in the renderer
使得这一行高度是,so that the row height is
没配置,not configured
可视化页面编辑器,Visual page editor
当然也可以直接指向某个组件,"Of course, you can also point directly to a component"
运行的时候报,report when running
默认会将接口返回的错误信息展示在,"By default, the error information returned by the interface will be displayed in"
洪江市,Hongjiang City
是否可被替换,Can be replaced
指定元素的堆叠顺序,Specifies the stacking order of the elements
非内联,non-inline
实际上是,in reality
是否使用内嵌模式,Whether to use inline mode
禁用内部点击事件的事件,Event to disable inner click event
模板模式,template pattern
防止拖动过快,Prevent dragging too fast
获取其他数据,get other data
不能超过,can not exceed
这里你可以放个,here you can put a
这时如果想要输出原始文本,"At this time, if you want to output the original text"
成功类文案,Successful copywriting
可选城市,optional city
要处理的文本集合,the collection of text to process
高埗镇,Gaobu Town
默认向后插入,insert backwards by default
关联选择模式,Associated Selection Mode
珠海市,Zhuhai city
新和县,Xinhe County
如果需要改变值格式,If you need to change the value format
是否显示序号,Whether to display the serial number
多选,multiple choice
但有时候这些交互无法满足需求,But sometimes these interactions are not enough
初始化一些公共资源,Initialize some common resources
但是当你在更改父级数据域,But when you change the parent data field
接口请求成功后,After the interface request is successful
坐标系,Coordinate System
标题旁边会出现个小图标,A small icon will appear next to the title
需要实时更新,Need real-time updates
用来做多页渲染,for multi-page rendering
图片放大功能,Picture enlargement function
巴中市,Bazhong City
查看网络面板可以看到数据如下,"Looking at the network panel, you can see the data as follows"
不注册,do not register
请求方式,request method
邹平市,Zouping
抚宁区,Funing District
但必须配合,but must cooperate
沈阳市,Shenyang city
执行条件,Execution conditions
漂亮,pretty
本身依然会包一层,itself will still wrap a layer
里的组件,components in
幻灯片,slideshow
变量,variable
点击按钮后自动关闭下拉菜单,Automatically close the dropdown menu after clicking the button
不用,Need not
组分别拿前,Groups take the front
文件类型,file type
孟州市,Mengzhou
界首市,Jieshou City
最后一行才和列配置个数对应,The last line corresponds to the number of column configurations
设置是让动作完成后关闭弹窗,The setting is to close the popup window after the action is completed
周四,Thursday
未启用的功能,Disabled features
默认选中此项,This is selected by default
文件下载地址的字段名,The field name of the file download address
当前只有一个,currently only one
右则,right
禁用编辑器,disable editor
尺寸选择器,size selector
配置模板,configuration template
边栏,Sidebar
计算移动后的位置,Calculate the position after the move
首层偏移,first layer offset
获取滚动的,get scrolled
避免循环引用,avoid circular references
会把当前表单的数据附带到页面地址上,Will attach the data of the current form to the page address
列检索,column search
已选择行,row selected
千分分隔,thousandths
视频是否为直播,Whether the video is live
后的,After
例如炫富到下图蓝色线条上的数据点,"For example, show off your wealth to the data points on the blue line in the figure below"
展示箭头,show arrow
兼容之前的版本,Compatible with previous versions
如果是单页应用,If it's a single page application
列区域的拖拽就是放根线表示拖入的位置,Drag and drop in the column area is to put the root line to indicate the dragged position
前面插入节点,insert node in front
即便是同步加载了,Even if loaded synchronously
行禁用条件,row disable condition
默认取选项的第一个,The first one of the options is taken by default
毫秒,millisecond
用于一个页面渲染多个,Used to render multiple
向上滚动放大,scroll up to zoom
是否可以拖动排序,Is it possible to drag and sort
添加时可选择类型,Type can be selected when adding
拉取失败时,When pull fails
等宽字体家族,monospace font family
屏东县,Pingtung County
林园区,Forest Park
样式,style
上一层选中选项,Previously selected options
选中的行数据集合,Selected row data set
阴影垂直方向上的偏移距离,The offset distance in the vertical direction of the shadow
否则在其他,otherwise in other
比如下面例子的目录节点都无法点,"For example, the directory nodes in the following examples cannot be clicked"
可搜索,searchable
过滤掉设置了,filter out settings
即模板字符串,i.e. template string
组件会按照精度自动处理,Components are automatically processed with precision
比如子元素都被拖完了,"For example, the child elements are all dragged"
推荐在,recommended in
线条宽度,line width
改为顺序校验后,After changing to sequential verification
代码,the code
如果决定结束轮询的标识字段名不是,If the identifying field name that decides to end polling is not
右侧结果搜索是通过,The results on the right are searched by
辽中区,Liaozhong District
时间选择器值格式,Time Picker Value Format
临海市,Linhai City
请简单描述你现在遇到的不符合预期的问题,Please briefly describe the problem you are encountering that does not meet expectations
重新赋值,reassignment
清除后立即搜索,search immediately after clearing
显示表达式,show expression
排列方向,Arrangement direction
这样就能自己接管网络请求,so that it can take over the network request itself
满足了各种各样的页面需求,Meet a variety of page needs
模式才能使用,mode to use
如果为空,if empty
将数据回填给另一个组件,backfill data to another component
日期范围快捷键,Date Range Shortcuts
个时自动开启,Automatically turn on
反馈弹框是指,Feedback popup means
在中间的格子中,in the middle grid
确认对话框弹出后,After the confirmation dialog pops up
返回现在的日期,return the current date
首次进入,first time entry
清丰县,Qingfeng County
并希望自定义组件自身的动作能够被其他组件调用,And hope that the actions of the custom component itself can be called by other components
丹徒区,Dantu District
列的每一行中,in each row of the column
文县,Wen County
可以设置下拉刷新功能,You can set the pull-to-refresh function
查看更多展示,view more shows
让折叠器默认都展开,Make folders expand by default
通过某个固定名字没办法找到对应的组件,There is no way to find the corresponding component through a fixed name
之后的值,value after
面包屑,Bread crumbs
确认对话框,confirmation dialog
内容区中,in the content area
枞阳县,Zongyang County
文字块宽度,text block width
值发生变化时会自动填充,Automatically populated when value changes
导航菜单,Navigation menu
验证失败的提示信息,Prompt message of verification failure
虽然配置了,Although configured
按规范里描述应该是在文字上面,"According to the specification, the description should be above the text"
更多示例可以查看,More examples can be viewed
请配置此属性为文件后缀,Please configure this property as the file suffix
新化县,Xinhua County
如果后端无法知道数据总数,If the backend cannot know the total number of data
可以用来添加说明性文字,Can be used to add descriptive text
选项值检查,option value check
大埔区,Tai Po District
易县,Yi County
经历了长时间的实战考验,After a long time of actual combat test
更新指定组件的数据域,Update the data field of the specified component
还不知道是啥,don't know what it is
从左到右依次提升,Ascension from left to right
标签上,on the label
来控制弹框属性,To control the properties of the pop-up box
选择图标,select icon
滁州市市辖区,Chuzhou Municipal District
玉山县,Yushan County
在用户选择大文件的时候,When the user selects a large file
这里不能用,not available here
上下文结构,context structure
一些辅助函数,some helper functions
的话就不自动加空格,no spaces are added automatically
来实现的容器功能,To implement the container function
一个可以拉取远程配置的,One that can pull remote configuration
主要是因为样式问题,Mainly because of styling issues
麦盖提县,Markit County
清空所有,clear all
交叉指针,cross pointer
如果模糊匹配失败,If fuzzy matching fails
设置最小长度值,Set the minimum length value
返回日期的分,Returns the minute of the date
就是为了演示有个叫,Just to demonstrate that there is a
获取到上层,Get to the top
按钮类组件事件,Button class component event
哈巴河县,Habahe County
默认是开启状态,default is on
移动端定制配置,Customized configuration on the mobile terminal
所有可用验证器,all available validators
改变事件,change event
更多操作相关配置,More operation-related configuration
一般不需要同步地址栏,Generally do not need to synchronize the address bar
杜尔伯特蒙古族自治县,Duerbot Mongolian Autonomous County
调试工具,debugging tool
利用这个将,Using this will
在默认没有自定义配置,By default there is no custom configuration
如果未做配置,If not configured
请输入最大值,Please enter the maximum value
在表格中,in the form
那么重置操作是会,Then the reset operation will
可克达拉市,Kokkhara
这里面的子组件,subcomponents here
仔细看示例不难发现,It is not difficult to find out by looking at the example carefully
开关尺寸,switch size
返回新数据,return new data
结构,structure
但是你可以通过配置,But you can configure
默认全选也需联动关闭,Select all by default and also need to be closed
此方法不鞥实现跨页面复制,This method does not implement cross-page copying
支持多个层,Supports multiple layers
属性来控制导航模式,property to control the navigation mode
时跳转到目标地址,jump to target address
传入的原始数据项,incoming raw data item
江孜县,Gyantse County
的出现条件,condition of appearance
在下面计算为,Calculated below as
同时支持变量如,Also supports variables such as
后代节点观察器,descendant node watcher
不然输出的,Otherwise the output
龙井区,Longjing District
保存到本地,save to local
打开单页,open single page
跟下面,follow below
当前选中的渲染器,currently selected renderer
连接起来,connect them
无法转成,cannot be converted into
例如下面例子我们给,"For example, the following example we give"
现在的维护成本会很高,Now the maintenance cost will be high
当做数据填充的时候,When doing data filling
数字框,number box
塘厦镇,Tangxia Town
光山县,Guangshan County
就会有一个,there will be one
初始进入异步提交状态,Initially enter the asynchronous commit state
因为也很难控制到这个粒度了,Because it is difficult to control the granularity
页面初始化请求,page initialization request
点击抽屉外自动关闭,Click outside the drawer to close automatically
数据格式是对象数组的形式,The data format is in the form of an array of objects
某个节点,a node
如果是懒加载的,If it is lazy loaded
云霄县,Yunxiao County
弹框确认后,After confirming the box
点击不生效,Click does not take effect
蚌埠市市辖区,Districts of Bengbu City
的纯文本,plain text of
分栏,Columns
我们会在后续的,we will follow up
但如果用户的系统中没有这些字体就会显示乱码,"But if the user's system does not have these fonts, it will display garbled characters"
生成文本样式的控件,Controls that generate text styles
如果被,if being
以此字符串作为,take this string as
将会在数据更新时被调用,will be called when the data is updated
掌握这些,master these
而等这个变量有值的时候再加载,And wait for this variable to have a value before loading
字段名称输入框占位文本,field name input box placeholder text
请使用分支开发,Please use branch development
那只显示第一个,that only shows the first
数据源接口地址可以通过变量实现动态拼接,The data source interface address can be dynamically spliced through variables
根据树结构层级,According to the tree structure level
图表渲染器,chart renderer
是指每一个,refers to each
乌伊岭区,Uy Ridge District
民众镇,People's Town
默认为严格模式,Strict mode by default
记录原始集合,Record the original collection
可以不限制,can be unlimited
所以需要将子级的,So the child's
节,Festival
完了才会加载,Will not load until finished
打开子弹窗,open bullet window
动态列,dynamic column
绝对,absolute
布局容器的列级元素,Column-level elements of layout containers
里到底是不是,is it right?
更新列表数据,update list data
树形结构,tree structure
选中值变化时触发,Triggered when the selected value changes
可以基于现有变量循环输出渲染器,Ability to loop output renderers based on existing variables
默认内边距配置项,Default padding configuration items
点选卡片内容是否选中卡片,Click on the content of the card to select the card
内置图标,built-in icon
是表达式或日期快捷,is an expression or a date shortcut
可为每一列的表头增加提示信息,Tips can be added to the header of each column
指定为日历选择控件,Designated as a calendar selection control
文字与输入框展示模式,Text and input box display mode
平定县,Pingding County
只需计算,just calculate
和田地区,Hotan area
要处理的文本,the text to process
广德县,Guangde County
图片上传完毕是否进入裁剪模式,Whether to enter cropping mode after uploading the image
确认,confirm
表示第二步,Indicates the second step
如果接口返回了,If the interface returns
年月日选择,year month day selection
等到第二个点变成激活状态,Wait until the second point becomes active
设置长度,set length
鼠标松开事件,mouseup event
可以尝试点击导航项展开按钮,You can try to click the navigation item to expand the button
表单项组件类型,Form Item Component Type
居中,in the center
控制状态,control state
则遍历,then traverse
可以基于它实现导航功能,Navigation can be implemented based on it
有以下几种,There are the following
手动设置左固定还是右固定,Manually set left fixed or right fixed
老河口市,Laohekou
可以看到,can be seen
开启严格模式后,After enabling strict mode
避免误触,avoid accidental touch
点击插入新元素,Click to insert new element
华阴市,Huayin City
沙坡头区,Shapotou District
密码输入框,password input box
比如具体某个数据的编辑页面,"For example, the edit page of a specific data"
只有开启,Only open
取地址栏参数,Get address bar parameters
是否可被删除,Can be deleted
新增下标,Add subscript
公式内置函数,Formula built-in functions
加载时的图片,image on load
才算是表达式,is an expression
模式下属性名和值之间的分隔符,Separator between property name and value in schema
强制不渲染,force no rendering
渲染器最好也变化,The renderer preferably also changes
新增分组,Add group
指定是否可以自动获取上层的数据并映射到表单项上,Specifies whether the upper layer data can be automatically obtained and mapped to the form item
接口返回数据需要符合以下格式,The data returned by the interface must conform to the following format
当前页数,current page number
为什么要做出这个更改,why this change was made
内层组件的,inner component's
如果模糊匹配成功,If the fuzzy match succeeds
输入框的类型,Type of input box
视觉上会作为一个整体呈现,visually presented as a whole
更新弹窗数据,Update popup window data
可以切换,can switch
单位选项,unit options
岚山区,Lanshan District
松桃苗族自治县,Songtao Miao Autonomous County
点击搜索,Click to search
从事件数据中取,from event data
弹窗数据,pop-up data
检查,examine
只能输入字母,Only letters can be entered
索引值,index value
自定义格式输出内容,Custom format output content
用于触发重新渲染组件面板的,to trigger a re-render of the component pane
湖南省,Hunan Province
得变成对象才行,have to become an object
我是提示内容,I am prompt content
次数为你当前列表的数据条数,The number of times is the number of data items in your current list
仁寿县,Renshou County
导入所有动作,import all actions
还可以更新值,You can also update the value
此属性可以关闭此行为,This property can be turned off this behavior
是否显示并或切换键按钮,Whether to display and or switch key buttons
下可能会返回内容为空,The following may return empty content
影响的表单项,Affected form items
只有少数几个容器组件会创建新的数据域,Only a few container components create new data fields
等于更新图表所依赖数据域中的变量,Equal to updating the variable in the data field on which the chart depends
只选一个,choose only one
并配置,and configure
边框宽度,border width
接口返回的数据通过此变量传入,The data returned by the interface is passed in through this variable
功能类似于表格,Functions like a table
非固定宽度,variable width
传递给子组件,passed to child components
组件专有动作选择器,Component-specific action selectors
平乡县,Pingxiang County
河间市,Hejian City
年,Year
的成员支持,members support
青龙满族自治县,Qinglong Manchu Autonomous County
不使用,Do not use
伍家岗区,Wujiagang District
获取公式编辑器中变量的,Get the variable in the formula editor
来控制大小,to control the size
比如以上这个例子接口返回为,"For example, the above example interface returns as"
解析颜色,parsing color
吉,lucky
数据路径,data path
可以配置数字,configurable numbers
交叉轴排列方向,cross axis arrangement direction
非确认模式,unacknowledged mode
所需的数据格式是,The required data format is
个,indivual
获取数据的语法会有差异,The syntax for getting data will vary
它的配置项和,its configuration items and
点击提交按钮的事件,Click event of submit button
使用的,in use
是用于分组展示表单项的一种容器型组件,It is a container component used to display form items in groups
改为存为空字符串,Save as an empty string instead
可从数据域变量中取值,Values can be retrieved from data field variables
除非增加新面板,Unless a new panel is added
的右侧内容,to the right of
孟村回族自治县,Mengcun Hui Autonomous County
为了兼容旧版的注册方法,For compatibility with older registration methods
这样接口,such interface
插入节点之后,after inserting the node
来弹框,popup box
具体格式请参考后面的静态数据写法,Please refer to the following static data writing method for the specific format
标题宽度占比,Title Width Ratio
售价,selling price
是否有下一页,Is there a next page
区域的,Regional
日期选择,date selection
仅支持实现了对应状态控制功能的数据,Only supports data that implements the corresponding state control function
默认为当前字段的值,Defaults to the value of the current field
内容是一样的,the content is the same
没找到做提示,Did not find a reminder
用于实现单选,for radio selection
第,No.
操作栏里面添加了个按钮,Added a button to the action bar
是分钟,is minutes
分页组件,paging component
是配置的字段名,is the configured field name
延安市,Yan'an
或者直接添加一个操作栏,Or add an action bar directly
第二步最外层监听广播事件写业务逻辑,The second step is to listen to broadcast events in the outermost layer and write business logic
行记录,line record
默认的拼接符是逗号,The default splicing character is a comma
渲染配置,rendering configuration
可注册的信息主要包含,The information that can be registered mainly includes
标题内容分割线,Title content dividing line
新增节点提交时触发,Triggered when a new node is submitted
是否新页面打开,Whether a new page opens
版本之后可以使用,available after version
一般使用,general use
数据域,data field
外边距,Margin
的不断升级,continuous upgrade of
一段文本,a piece of text
自定义模板,custom template
默认消息读取的是接口返回的,The default message read is returned by the interface
长丰县,Changfeng County
当不操作该表单项,When not operating the form item
配置删除选项接口,Configure delete options interface
只需要解决跨域问题,Just need to solve the cross-domain problem
按钮时触发,Triggered on button
首先设置另一个表单的,First set another form's
则通过渲染器名字指定,then specified by the renderer name
悬停隐藏,hover hide
从已配置的内容组合一下做兜底处理,Combining from the configured content to do the bottom-up processing
当前文本值,current text value
缺陷,defect
小时后,hours later
批量修改和删除,Bulk edit and delete
条件判断通过的返回结果,The return result of the conditional judgment passing
用于标识当前是哪个组件,Used to identify which component is currently
作为内部组件的,as an internal component
提取表达式中有哪些变量,Extract which variables are in the expression
按列显示,display by column
如果希望能看起来更像桌面端的效果,If you want to look more like the effect of the desktop
选中父节点时,When the parent node is selected
内容区同样可以渲染各种组件,The content area can also render various components
我想要实现,i want to achieve
龙胜各族自治县,Longsheng Autonomous County of All Nationalities
功能类函数集合,collection of functions
后端需要通过流的方式输出结果,The backend needs to output the result through stream
开启调试,enable debugging
解决弹窗里面默认光标太小的问题,Solve the problem that the default cursor in the pop-up window is too small
让它和下一列合并,let it merge with the next column
部分组件交互后会有更新,Some components will be updated after interaction
禁用状态,Disabled state
中的列配置,Column configuration in
因此下面的,Therefore the following
当单个系列显示的图形数量大于这个阈值时会关闭动画,"When the number of graphs displayed by a single series is greater than this threshold, the animation will be turned off"
显示渲染器,show renderer
是否显示计数,Whether to display the count
永安区,Yong'an District
已选择行记录,Selected row record
三种字符串类型代表不同大小,Three string types representing different sizes
默认是空不会提示,The default is empty and will not prompt
当发送内容中存在文件时会自动使用,Automatically used when there is a file in the sent content
西湖区,West Lake District
蒲江县,Pujiang County
里拷贝过来的,copied from
仅在输入内容前展示,Show only before typing
整体验证钩子,overall validation hook
望江县,Wangjiang County
这样使用方不需要指定都会有,"In this way, the user does not need to specify that there will be"
当用户点击按钮时,when the user clicks the button
和目标日期相同,same as target date
秀水乡,Xiushui Township
双击,double click
中的参数会进入顶层数据域,The parameters in will go into the top-level data field
当前已存在重名渲染器,A renderer with the same name already exists
明溪县,Mingxi County
更新,renew
可以的话,if possible
边框圆角,border rounded corners
提交结果,Submit results
破岳震天锤,Breaking Mountain Hammer
兼容一下错误的用法,Compatible with the wrong usage
将当前选中的节点上移,Move the currently selected node up
加载更多,load more
选项模板,option template
并配置该行为是刷新目标组件,And configure the behavior to refresh the target component
页面上下间距,page spacing
文字说明,text description
鞍山市,Anshan City
自上层共享的属性,Properties shared from above
即是表格列,is the table column
同一个容器组件下面的区域可以快速切换,The area under the same container component can be quickly switched
代表变量名,represents the variable name
目前还不支持拖拽组合使用,Drag and drop combinations are not yet supported
组合穿梭器组件,Combined Shuttle Assemblies
桥东区,Qiaodong District
是否只读,Is it read-only
就放这了,leave it here
因此向上查找,so look up
即便完全不懂前端也能基于它开发应用,"Even if you don't understand the front end at all, you can develop applications based on it"
兼容中,compatible
已存在同名插件,A plugin with the same name already exists
优先级更高,higher priority
上例中配置了,In the above example configured
整型数字,integer number
当历史记录和搜索分类都为空时也不展示,Do not display when history and search categories are empty
涡阳县,Guoyang County
显示背景间隔,Show Background Interval
默认会有个放大形状的图标出现在列里面,"By default, an icon with an enlarged shape will appear in the column"
组合穿梭器,combination shuttle
收集,collect
中有变量,There are variables in
广宗县,Guangzong County
固定长度,Fixed length
全局文本替换,global text replacement
则永远展开,then expand forever
还是等初始化数据过来才算,Or wait for the initialization data to come
点开下拉框,Click on the drop-down box
则需要将,then you need to
勉县,Mian County
都由前端直接完成,are done directly by the front end
临沭县,Linshu County
当前点击的图形元素所属的组件名称,The name of the component that the currently clicked graphic element belongs to
镜湖区,Mirror Lake District
君山区,Junshan District
如果系列没有设置颜色,If the series has no color set
支持模板语法可用来关联动态数据,Support template syntax can be used to associate dynamic data
否则会出现自定义渲染器无法编辑的问题,"Otherwise, there will be a problem that the custom renderer cannot be edited"
可拖拽抽屉大小,Draggable drawer size
使用相对数值,use relative values
就是给所有视图模式添加样式,is to add styles to all view modes
格式转换成节点路径模式,Format converted to node path pattern
可以配置如下参数,The following parameters can be configured
值列表元素的类名,the class name of the value list element
跨几列,across several columns
颜色值,color value
巴宜区,Bayi District
万州区,Wanzhou District
所以先应用这个,So first apply this
然后马上通过,then immediately pass
可多选,Multiple choice
数据来自西安兰特水电测控技术有限公司,"The data comes from Xi'an Lante Hydropower Measurement and Control Technology Co., Ltd."
惠水县,Huishui County
南雄市,Nanxiong
是事件对应的响应动作的集合,Is the set of response actions corresponding to the event
没看懂这个是啥意思,I don't understand what this means
邮箱格式直接返回,E-mail format returns directly
比如把,For example put
不同场景下,in different scenarios
单行数据,single row data
请选择日期以及时间,Please select a date and time
金湾区,Jinwan District
六脚乡,Liujiao Township
